Date/time;LCSS_t[c];LCSS_rh[%];REFERENCE_CO2[ppm];IRCA1(1)_co2[ppm];TDS0058(1)_co2[ppm]
04/02/2020_06:00:17;19.5;45.9;990;811.5;850.00
04/02/2020_06:05:17;19.6;45.6;992;800.7;870.00
04/02/2020_06:10:17;19.6;45.9;1007;799.9;870.00
04/02/2020_06:15:17;19.5;45.9;1007;820.4;870.00
04/02/2020_06:20:17;19.7;45.7;1010;815.5;880.00
04/02/2020_06:25:17;19.6;45.9;1012;819.1;890.00
04/02/2020_06:30:17;19.5;45.9;1027;823.1;880.00
04/02/2020_06:35:17;19.5;46.1;1016;845.8;890.00
04/02/2020_06:40:17;19.5;46.2;1021;838.9;890.00
04/02/2020_06:45:17;19.6;45.9;1018;830.8;900.00
04/02/2020_06:50:17;19.5;46.1;1021;827.9;900.00
04/02/2020_06:55:17;19.5;46.1;1027;833.9;900.00
04/02/2020_07:00:17;19.5;46.1;1032;857.6;900.00
04/02/2020_07:05:17;19.6;46.0;1024;833.2;900.00
04/02/2020_07:10:17;19.6;46.0;1036;826.9;900.00
04/02/2020_07:15:17;19.5;46.1;1035;836.7;910.00
04/02/2020_07:20:17;19.6;46.0;1041;872.1;920.00
04/02/2020_07:25:17;19.6;46.4;1044;859.1;920.00
04/02/2020_07:30:17;19.6;46.1;1053;855.2;920.00
04/02/2020_07:35:17;19.7;46.0;1046;859.2;930.00
04/02/2020_07:40:17;19.6;46.1;1061;879.3;930.00
04/02/2020_07:45:17;19.7;46.1;1064;845.8;930.00
04/02/2020_07:50:17;19.7;45.9;1069;859.5;930.00
04/02/2020_07:55:17;19.7;46.1;1061;851.8;940.00
04/02/2020_08:00:17;19.7;45.9;1061;879.4;930.00
04/02/2020_08:05:17;19.7;46.0;1061;864.4;930.00
04/02/2020_08:10:17;19.8;45.8;1058;858.3;930.00
04/02/2020_08:15:17;19.8;45.7;1055;882.8;930.00
04/02/2020_08:20:17;19.9;45.6;1056;891.7;930.00
04/02/2020_08:25:17;19.7;45.9;1055;865.2;930.00
04/02/2020_08:30:17;19.9;45.7;1052;860.1;930.00
04/02/2020_08:35:17;19.9;45.5;1064;864.4;930.00
04/02/2020_08:40:17;19.9;45.6;1075;886.5;940.00
04/02/2020_08:45:17;20.0;45.7;1072;885.8;940.00
04/02/2020_08:50:17;20.0;45.8;1084;872.3;960.00
04/02/2020_08:55:17;19.9;45.8;1084;901.7;950.00
04/02/2020_09:00:17;20.1;45.3;1092;916.5;960.00
04/02/2020_09:05:17;20.0;45.6;1095;897.4;950.00
04/02/2020_09:10:17;20.0;45.2;1073;866.2;930.00
04/02/2020_09:15:17;19.9;45.2;1070;863.4;930.00
04/02/2020_09:20:17;19.9;44.8;1049;863.9;920.00
04/02/2020_09:25:17;20.0;44.3;1050;846.8;910.00
04/02/2020_09:30:17;20.1;44.2;1044;843.4;900.00
04/02/2020_09:35:17;20.0;43.9;1018;817.2;890.00
04/02/2020_09:40:17;20.1;43.8;1007;829.1;880.00
04/02/2020_09:45:17;20.1;43.6;996;804.1;860.00
04/02/2020_09:50:17;20.2;43.4;1004;788.1;860.00
04/02/2020_09:55:17;20.2;43.3;987;787.0;860.00
04/02/2020_10:00:17;20.2;43.0;981;787.7;850.00
04/02/2020_10:05:17;20.2;41.5;990;794.3;880.00
04/02/2020_10:10:17;20.1;38.7;921;708.0;770.00
04/02/2020_10:15:17;20.1;37.4;870;656.2;710.00
04/02/2020_10:20:17;20.6;49.5;1389;1656.3;1770.00
04/02/2020_10:25:17;20.8;50.1;1790;1638.8;1800.00
04/02/2020_10:30:17;20.8;49.8;1864;1629.1;1790.00
04/02/2020_10:35:17;20.7;49.2;1827;1570.6;1720.00
04/02/2020_10:40:17;20.9;49.7;1824;1621.9;1730.00
04/02/2020_10:45:17;21.0;49.1;1833;1559.8;1720.00
04/02/2020_10:50:17;21.2;48.8;1824;1562.0;1710.00
04/02/2020_10:55:17;21.2;48.8;1816;1559.0;1720.00
04/02/2020_11:00:17;21.3;48.8;1824;1603.8;1730.00
04/02/2020_11:05:17;21.4;49.4;1853;1630.6;1760.00
04/02/2020_11:10:17;21.3;49.4;1887;1604.5;1760.00
04/02/2020_11:15:17;21.1;33.7;1335;661.8;730.00
04/02/2020_11:20:17;20.9;30.1;901;486.5;550.00
04/02/2020_11:25:17;20.8;28.6;671;379.2;440.00
04/02/2020_11:30:17;20.7;28.9;592;352.1;420.00
04/02/2020_11:35:17;20.6;29.1;557;349.1;410.00
04/02/2020_11:40:17;20.6;29.0;551;372.5;420.00
04/02/2020_11:45:17;20.9;35.5;686;692.8;750.00
04/02/2020_11:50:17;21.1;38.0;870;742.5;840.00
04/02/2020_11:55:17;21.1;38.5;898;686.2;780.00
04/02/2020_12:00:17;21.0;37.2;853;617.7;690.00
04/02/2020_12:05:17;21.0;36.0;777;552.8;630.00
04/02/2020_12:10:17;21.2;36.0;725;498.2;580.00
04/02/2020_12:15:17;21.2;36.5;702;484.3;550.00
04/02/2020_12:20:17;21.2;36.4;663;482.5;520.00
04/02/2020_12:25:17;21.2;36.0;648;456.6;500.00
04/02/2020_12:30:17;21.3;35.2;631;441.8;490.00
04/02/2020_12:35:17;21.3;35.8;629;445.7;510.00
04/02/2020_12:40:17;21.4;36.6;683;531.9;580.00
04/02/2020_12:45:17;21.5;37.3;719;573.1;630.00
04/02/2020_12:50:17;21.5;37.6;745;576.3;640.00
04/02/2020_12:55:17;21.5;37.8;762;582.9;640.00
04/02/2020_13:00:17;21.7;38.4;776;603.6;670.00
04/02/2020_13:05:17;21.6;38.9;807;637.5;700.00
04/02/2020_13:10:17;21.7;39.4;862;691.0;780.00
04/02/2020_13:15:17;21.8;40.2;953;822.6;900.00
04/02/2020_13:20:17;21.8;41.0;1032;873.5;950.00
04/02/2020_13:25:17;22.0;41.4;1053;912.3;950.00
04/02/2020_13:30:17;22.1;42.2;1192;1084.9;1190.00
04/02/2020_13:35:17;22.1;42.1;1280;1058.5;1170.00
04/02/2020_13:40:17;22.0;41.9;1246;1010.1;1110.00
04/02/2020_13:45:17;22.0;41.6;1184;945.9;1030.00
04/02/2020_13:50:17;22.1;41.6;1155;934.2;1020.00
04/02/2020_13:55:17;22.2;42.0;1138;949.8;1020.00
04/02/2020_14:00:17;22.2;43.3;1167;1056.3;1140.00
04/02/2020_14:05:17;22.4;45.0;1300;1177.5;1270.00
04/02/2020_14:10:17;22.4;45.3;1317;1093.9;1180.00
04/02/2020_14:15:17;22.4;45.2;1275;1073.3;1160.00
04/02/2020_14:20:17;22.4;44.7;1240;1045.3;1130.00
04/02/2020_14:25:17;22.4;44.5;1246;1075.9;1160.00
04/02/2020_14:30:17;22.4;44.3;1246;1057.5;1140.00
04/02/2020_14:35:17;22.4;44.1;1237;1067.5;1140.00
04/02/2020_14:40:17;22.5;43.4;1226;1037.5;1110.00
04/02/2020_14:45:17;22.6;43.3;1209;1037.6;1080.00
04/02/2020_14:50:17;22.7;43.5;1198;1032.6;1100.00
04/02/2020_14:55:17;22.5;43.1;1169;975.6;1030.00
04/02/2020_15:00:17;22.5;42.2;1113;866.1;960.00
04/02/2020_15:05:17;22.7;40.8;973;754.1;810.00
04/02/2020_15:10:17;22.6;41.4;935;784.9;820.00
04/02/2020_15:15:17;22.7;41.7;950;786.5;830.00
04/02/2020_15:20:17;22.7;41.3;942;768.9;820.00
04/02/2020_15:25:17;22.7;41.7;921;810.2;810.00
04/02/2020_15:30:17;22.7;41.5;925;750.5;810.00
04/02/2020_15:35:17;22.8;41.7;925;794.6;830.00
04/02/2020_15:40:17;22.8;41.7;947;803.2;840.00
04/02/2020_15:45:17;22.7;42.0;950;817.7;840.00
04/02/2020_15:50:17;22.8;41.9;953;812.9;850.00
04/02/2020_15:55:17;22.7;41.8;952;784.6;840.00
04/02/2020_16:00:17;22.7;41.9;944;806.1;830.00
04/02/2020_16:05:17;22.9;41.5;933;796.6;810.00
04/02/2020_16:10:17;23.0;41.3;924;783.3;820.00
04/02/2020_16:15:17;23.1;41.2;941;789.0;830.00
04/02/2020_16:20:17;23.0;41.1;942;764.8;820.00
04/02/2020_16:25:17;22.9;41.5;930;787.4;820.00
04/02/2020_16:30:17;22.9;41.5;927;780.4;810.00
04/02/2020_16:35:17;22.9;41.7;936;772.0;830.00
04/02/2020_16:40:17;22.9;41.7;941;772.7;840.00
04/02/2020_16:45:17;23.0;41.8;944;796.5;850.00
04/02/2020_16:50:17;22.9;42.0;956;794.9;850.00
04/02/2020_16:55:17;22.9;41.6;973;779.5;870.00
04/02/2020_17:00:17;23.0;41.8;958;786.0;860.00
04/02/2020_17:05:17;23.0;41.8;1002;861.2;910.00
04/02/2020_17:10:17;23.0;42.6;1092;988.3;1080.00
04/02/2020_17:15:17;23.1;42.9;1215;1080.9;1170.00
04/02/2020_17:20:17;23.0;44.1;1272;1147.6;1210.00
04/02/2020_17:25:17;23.0;44.2;1300;1158.7;1240.00
04/02/2020_17:30:17;23.1;44.4;1306;1167.7;1220.00
04/02/2020_17:35:17;23.0;44.2;1303;1136.9;1210.00
04/02/2020_17:40:17;23.1;44.0;1326;1140.1;1220.00
04/02/2020_17:45:17;23.1;43.8;1297;1113.6;1180.00
